Domain,DNSName,NSRecord,MXRecord,IPv4Address,Netblock,AS,Company,DNSName
.,.,.,.,.,.,26710,ICANN-ANYCASTED-SERVICES - ICANN,.
.,.,.,.,.,199.43.135.0-199.43.135.255,26710,.,.
.,.,.,.,199.43.135.53,199.43.135.0-199.43.135.255,.,.,.
.,.,.,.,199.43.135.53,199.43.135.0-199.43.135.255,.,.,.
.,.,a.iana-servers.net,.,199.43.135.53,.,.,.,.
example.com,.,a.iana-servers.net,.,.,.,.,.,.
example.com,.,a.iana-servers.net,.,.,.,.,.,.
example.com,.,b.iana-servers.net,.,.,.,.,.,.
example.com,.,b.iana-servers.net,.,.,.,.,.,.
example.com,.,.,.,.,.,.,.,.
example.com,.,.,.,93.184.216.34,.,.,.,.
example.com,.,.,.,93.184.216.34,.,.,.,.
.,www.example.com,.,.,93.184.216.34,.,.,.,.
example.com,www.example.com,.,.,.,.,.,.,.
.,www.example.com,.,.,93.184.216.34,.,.,.,.
.,www.example.com,.,.,2606:2800:220:1:248:1893:25c8:1946,.,.,.,.
example.com,.,.,.,2606:2800:220:1:248:1893:25c8:1946,.,.,.,.
.,www.example.com,.,.,2606:2800:220:1:248:1893:25c8:1946,.,.,.,.
.,.,.,.,2606:2800:220:1:248:1893:25c8:1946,2606:2800:220::-2606:2800:220:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,.,.,2606:2800:220:1:248:1893:25c8:1946,2606:2800:220::-2606:2800:220:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,.,.,93.184.216.34,93.184.216.0-93.184.216.255,.,.,.
.,.,.,.,93.184.216.34,93.184.216.0-93.184.216.255,.,.,.
example.com,.,.,.,2606:2800:220:1:248:1893:25c8:1946,.,.,.,.
example.com,www.example.com,.,.,.,.,.,.,.
.,.,.,.,.,2001:500:8f::-2001:500:8f:ffff:ffff:ffff:ffff:ffff,26710,.,.
.,.,.,.,2001:500:8f::53,2001:500:8f::-2001:500:8f:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,.,.,2001:500:8f::53,2001:500:8f::-2001:500:8f:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,a.iana-servers.net,.,2001:500:8f::53,.,.,.,.
.,.,.,.,.,199.43.133.0-199.43.133.255,26710,.,.
.,.,.,.,199.43.133.53,199.43.133.0-199.43.133.255,.,.,.
.,.,.,.,199.43.133.53,199.43.133.0-199.43.133.255,.,.,.
.,.,b.iana-servers.net,.,199.43.133.53,.,.,.,.
.,.,.,.,.,2001:500:8d::-2001:500:8d:ffff:ffff:ffff:ffff:ffff,26710,.,.
.,.,.,.,2001:500:8d::53,2001:500:8d::-2001:500:8d:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,b.iana-servers.net,.,2001:500:8d::53,.,.,.,.
.,.,.,.,2001:500:8d::53,2001:500:8d::-2001:500:8d:ffff:ffff:ffff:ffff:ffff,.,.,.
.,.,.,.,.,.,15133,EDGECAST - MCI Communications Services Inc. d/b/a Verizon Business,.
.,.,.,.,.,93.184.216.0-93.184.216.255,15133,.,.
.,.,.,.,.,2606:2800:220::-2606:2800:220:ffff:ffff:ffff:ffff:ffff,15133,.,.
